2024-04-19 22:53:17 +0300 ('127.0.0.1', 56064) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:53:21 +0300 ('127.0.0.1', 56078) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:53:35 +0300 ('127.0.0.1', 34468) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:53:37 +0300 ('127.0.0.1', 34482) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:54:37 +0300 ('127.0.0.1', 39906) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:55:10 +0300 ('127.0.0.1', 48348) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:55:14 +0300 ('127.0.0.1', 48362) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:59:58 +0300 ('127.0.0.1', 39632) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 23:00:40 +0300 ('127.0.0.1', 43886) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:01:06 +0300 ('127.0.0.1', 44260) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:01:14 +0300 ('127.0.0.1', 44266) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:01:44 +0300 ('127.0.0.1', 42354) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:01:50 +0300 ('127.0.0.1', 52690) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:02:06 +0300 ('127.0.0.1', 60304) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:02:11 +0300 ('127.0.0.1', 60318) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:02:19 +0300 ('127.0.0.1', 34700) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:02:35 +0300 ('127.0.0.1', 37918) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:02:57 +0300 ('127.0.0.1', 40372) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:03:27 +0300 ('127.0.0.1', 42782) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:03:33 +0300 ('127.0.0.1', 42788) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:03:44 +0300 ('127.0.0.1', 56232) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:03:50 +0300 ('127.0.0.1', 49462) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:04:06 +0300 ('127.0.0.1', 34338) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:04:12 +0300 ('127.0.0.1', 34352) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:04:24 +0300 ('127.0.0.1', 51874) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:04:50 +0300 ('127.0.0.1', 42456) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:05:19 +0300 ('127.0.0.1', 37764) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:05:27 +0300 ('127.0.0.1', 43506) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:05:35 +0300 ('127.0.0.1', 51908) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:05:38 +0300 ('127.0.0.1', 51912) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:06:58 +0300 ('127.0.0.1', 60880) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 23:07:12 +0300 ('127.0.0.1', 34238) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 23:07:25 +0300 ('127.0.0.1', 48240) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 23:09:08 +0300 ('127.0.0.1', 34520) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:10:28 +0300 ('127.0.0.1', 39726) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:10:32 +0300 ('127.0.0.1', 39738) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:10:35 +0300 ('127.0.0.1', 48280) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:10:39 +0300 ('127.0.0.1', 48292) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:10:47 +0300 ('127.0.0.1', 36068) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:10:58 +0300 ('127.0.0.1', 34980) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:11:29 +0300 ('127.0.0.1', 46576) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:11:35 +0300 ('127.0.0.1', 40586) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:12:25 +0300 ('127.0.0.1', 47908) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:12:34 +0300 ('127.0.0.1', 47924) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:12:39 +0300 ('127.0.0.1', 49886) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:13:04 +0300 ('127.0.0.1', 47006) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:13:14 +0300 ('127.0.0.1', 46636) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:13:41 +0300 ('127.0.0.1', 52256) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:13:44 +0300 ('127.0.0.1', 52260) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:14:25 +0300 ('127.0.0.1', 50338) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:14:29 +0300 ('127.0.0.1', 50352) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:15:14 +0300 ('127.0.0.1', 44376) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:15:18 +0300 ('127.0.0.1', 46388) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:15:25 +0300 ('127.0.0.1', 54172) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:16:18 +0300 ('127.0.0.1', 49148) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:16:21 +0300 ('127.0.0.1', 49158) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:16:27 +0300 ('127.0.0.1', 60252) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:18:52 +0300 ('127.0.0.1', 52800) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:19:16 +0300 ('127.0.0.1', 55620) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:19:20 +0300 ('127.0.0.1', 55636) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:20:38 +0300 ('127.0.0.1', 33136) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:20:43 +0300 ('127.0.0.1', 33140) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:21:36 +0300 ('127.0.0.1', 44082) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:21:40 +0300 ('127.0.0.1', 44090) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:22:31 +0300 ('127.0.0.1', 55116) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:22:34 +0300 ('127.0.0.1', 55120) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:23:01 +0300 ('127.0.0.1', 52726) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:23:02 +0300 ('127.0.0.1', 52736) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:23:42 +0300 ('127.0.0.1', 50006) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:24:34 +0300 ('127.0.0.1', 57854) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:24:37 +0300 ('127.0.0.1', 54856) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:32:35 +0300 ('127.0.0.1', 42968) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:32:39 +0300 ('127.0.0.1', 42978) -> UDP://167.172.59.39:53 [167.172.59.39]
